iter	Passed	Remaining
1025	108058	81518
1026	108155	81405
1027	108273	81310
1028	108375	81202
1029	108512	81120
1030	108625	81021
1031	108737	80921
1032	108845	80817
1033	108957	80717
1034	109062	80611
1035	109168	80506
1036	109269	80397
1037	109376	80293
1038	109482	80188
1039	109603	80094
1040	109724	80001
1041	109854	79913
1042	110015	79848
1043	110183	79788
1044	110305	79694
1045	110440	79609
1046	110541	79501
1047	110655	79401
1048	110766	79299
1049	110867	79191
1050	110991	79098
1051	111101	78996
1052	111218	78898
1053	111318	78789
1054	111415	78677
1055	111521	78572
1056	111621	78462
1057	111725	78355
1058	111828	78247
1059	112006	78193
1060	112106	78083
1061	112219	77982
1062	112320	77874
1063	112468	77797
1064	112554	77678
1065	112670	77579
1066	112781	77478
1067	112890	77374
1068	112986	77262
1069	113087	77153
1070	113182	77039
1071	113287	76934
1072	113388	76825
1073	113484	76713
1074	113590	76607
1075	113688	76496
1076	113790	76388
1077	113895	76282
1078	113996	76174
1079	114106	76070
1080	114215	75967
1081	114320	75861
1082	114424	75754
1083	114543	75657
1084	114645	75549
1085	114760	75450
1086	114853	75336
1087	114958	75230
1088	115062	75123
1089	115166	75016
1090	115263	74905
1091	115374	74803
1092	115476	74695
